tm_fc,tm_ef,ta_min,ta_max
202301010600,202301040000,-7.0,2.0
202301010600,202301050000,-5.0,3.0
202301010600,202301060000,-3.0,5.0
202301010600,202301070000,-1.0,2.0
202301010600,202301080000,-5.0,3.0
202301010600,202301090000,-3.0,4.0
202301010600,202301100000,-2.0,3.0
202301010600,202301110000,-3.0,3.0
202301011800,202301040000,-7.0,1.0
202301011800,202301050000,-5.0,3.0
202301011800,202301060000,-3.0,5.0
202301011800,202301070000,-1.0,2.0
202301011800,202301080000,-5.0,3.0
202301011800,202301090000,-3.0,4.0
202301011800,202301100000,-3.0,3.0
202301011800,202301110000,-3.0,3.0
202301020600,202301050000,-5.0,3.0
202301020600,202301060000,-4.0,5.0
202301020600,202301070000,0.0,3.0
202301020600,202301080000,-4.0,5.0
202301020600,202301090000,-3.0,3.0
202301020600,202301100000,-5.0,3.0
202301020600,202301110000,-4.0,4.0
202301020600,202301120000,-2.0,5.0
202301021800,202301050000,-6.0,2.0
202301021800,202301060000,-5.0,4.0
202301021800,202301070000,0.0,3.0
202301021800,202301080000,-4.0,5.0
202301021800,202301090000,-4.0,3.0
202301021800,202301100000,-5.0,3.0
202301021800,202301110000,-3.0,4.0
202301021800,202301120000,-2.0,4.0
202301030600,202301060000,-5.0,4.0
202301030600,202301070000,0.0,3.0
202301030600,202301080000,-4.0,5.0
202301030600,202301090000,-3.0,3.0
202301030600,202301100000,-5.0,3.0
202301030600,202301110000,-3.0,4.0
202301030600,202301120000,-2.0,4.0
202301030600,202301130000,-1.0,5.0
202301031800,202301060000,-4.0,4.0
202301031800,202301070000,0.0,3.0
202301031800,202301080000,-4.0,5.0
202301031800,202301090000,-2.0,3.0
202301031800,202301100000,-5.0,4.0
202301031800,202301110000,-3.0,5.0
202301031800,202301120000,-2.0,5.0
202301031800,202301130000,-1.0,5.0
202301040600,202301070000,0.0,3.0
202301040600,202301080000,-4.0,5.0
202301040600,202301090000,-1.0,4.0
202301040600,202301100000,-4.0,4.0
202301040600,202301110000,-3.0,5.0
202301040600,202301120000,-2.0,6.0
202301040600,202301130000,-1.0,6.0
202301040600,202301140000,2.0,7.0
202301041800,202301070000,0.0,3.0
202301041800,202301080000,-4.0,4.0
202301041800,202301090000,-1.0,5.0
202301041800,202301100000,-4.0,5.0
202301041800,202301110000,-3.0,6.0
202301041800,202301120000,-2.0,7.0
202301041800,202301130000,0.0,6.0
202301041800,202301140000,2.0,7.0
202301050600,202301080000,-4.0,4.0
202301050600,202301090000,-1.0,5.0
202301050600,202301100000,-2.0,5.0
202301050600,202301110000,-3.0,6.0
202301050600,202301120000,-2.0,7.0
202301050600,202301130000,0.0,6.0
202301050600,202301140000,2.0,7.0
202301050600,202301150000,1.0,4.0
202301051800,202301080000,-4.0,4.0
202301051800,202301090000,0.0,5.0
202301051800,202301100000,-2.0,5.0
202301051800,202301110000,-3.0,6.0
202301051800,202301120000,-2.0,7.0
202301051800,202301130000,0.0,7.0
202301051800,202301140000,3.0,7.0
202301051800,202301150000,1.0,4.0
202301060600,202301090000,1.0,5.0
202301060600,202301100000,-3.0,6.0
202301060600,202301110000,-3.0,7.0
202301060600,202301120000,-1.0,8.0
202301060600,202301130000,1.0,7.0
202301060600,202301140000,3.0,7.0
202301060600,202301150000,1.0,4.0
202301060600,202301160000,-2.0,2.0
202301061800,202301090000,1.0,5.0
202301061800,202301100000,-3.0,6.0
202301061800,202301110000,-3.0,7.0
202301061800,202301120000,-1.0,8.0
202301061800,202301130000,3.0,9.0
202301061800,202301140000,3.0,7.0
202301061800,202301150000,0.0,4.0
202301061800,202301160000,-3.0,1.0
202301070600,202301100000,-3.0,7.0
