date,source,category_l1,category_l2,keyword,ratio,rescaled,batch_id,gender,age_group,cid,is_anchor
2026-07-01,naver_datalab_category,패션의류,,,76.40127,1.0,cat_b01,,,50000000,True
2026-07-01,naver_datalab_category,패션의류,여성의류,,48.12582,0.629908638953253,cat_b01,,,50000167,False
2026-07-01,naver_datalab_category,패션의류,남성의류,,19.67985,0.2575853778346878,cat_b01,,,50000169,False
2026-07-02,naver_datalab_category,패션의류,,,74.58184,1.0,cat_b01,,,50000000,True
2026-07-02,naver_datalab_category,패션의류,여성의류,,47.54381,0.6374716687064841,cat_b01,,,50000167,False
2026-07-02,naver_datalab_category,패션의류,남성의류,,18.60757,0.24949196748162822,cat_b01,,,50000169,False
2026-07-03,naver_datalab_category,패션의류,,,71.90553,1.0,cat_b01,,,50000000,True
2026-07-03,naver_datalab_category,패션의류,여성의류,,45.98182,0.639475433947848,cat_b01,,,50000167,False
2026-07-03,naver_datalab_category,패션의류,남성의류,,18.00884,0.2504513908735531,cat_b01,,,50000169,False
2026-07-04,naver_datalab_category,패션의류,,,84.20099,1.0,cat_b01,,,50000000,True
2026-07-04,naver_datalab_category,패션의류,여성의류,,54.18604,0.6435321009883612,cat_b01,,,50000167,False
2026-07-04,naver_datalab_category,패션의류,남성의류,,20.97338,0.2490870950567208,cat_b01,,,50000169,False
2026-07-05,naver_datalab_category,패션의류,,,100.0,1.0,cat_b01,,,50000000,True
2026-07-05,naver_datalab_category,패션의류,여성의류,,62.77922,0.6277922,cat_b01,,,50000167,False
2026-07-05,naver_datalab_category,패션의류,남성의류,,26.01913,0.2601913,cat_b01,,,50000169,False
2026-07-06,naver_datalab_category,패션의류,,,79.24722,1.0,cat_b01,,,50000000,True
2026-07-06,naver_datalab_category,패션의류,여성의류,,49.1423,0.6201138664548738,cat_b01,,,50000167,False
2026-07-06,naver_datalab_category,패션의류,남성의류,,20.81878,0.262706754886796,cat_b01,,,50000169,False
2026-07-07,naver_datalab_category,패션의류,,,83.46285,1.0,cat_b01,,,50000000,True
2026-07-07,naver_datalab_category,패션의류,여성의류,,51.8876,0.6216849772084226,cat_b01,,,50000167,False
2026-07-07,naver_datalab_category,패션의류,남성의류,,21.687,0.25984015642887826,cat_b01,,,50000169,False
2026-07-08,naver_datalab_category,패션의류,,,82.47571,1.0,cat_b01,,,50000000,True
2026-07-08,naver_datalab_category,패션의류,여성의류,,51.57541,0.6253406002809796,cat_b01,,,50000167,False
2026-07-08,naver_datalab_category,패션의류,남성의류,,21.08224,0.2556175630376507,cat_b01,,,50000169,False
2026-07-09,naver_datalab_category,패션의류,,,78.77777,1.0,cat_b01,,,50000000,True
2026-07-09,naver_datalab_category,패션의류,여성의류,,49.81661,0.6323688776668849,cat_b01,,,50000167,False
2026-07-09,naver_datalab_category,패션의류,남성의류,,19.84073,0.25185696421718967,cat_b01,,,50000169,False
2026-07-10,naver_datalab_category,패션의류,,,68.58425,1.0,cat_b01,,,50000000,True
2026-07-10,naver_datalab_category,패션의류,여성의류,,43.68403,0.6369396763834263,cat_b01,,,50000167,False
2026-07-10,naver_datalab_category,패션의류,남성의류,,17.07822,0.24901081516528945,cat_b01,,,50000169,False
2026-07-11,naver_datalab_category,패션의류,,,78.21225,1.0,cat_b01,,,50000000,True
2026-07-11,naver_datalab_category,패션의류,여성의류,,50.25615,0.6425611077548594,cat_b01,,,50000167,False
2026-07-11,naver_datalab_category,패션의류,남성의류,,19.16803,0.24507708191491745,cat_b01,,,50000169,False
