date,source,category_l1,category_l2,keyword,ratio,rescaled,batch_id,gender,age_group,cid,is_anchor
2026-07-01,naver_datalab_keyword,패션의류,,반팔티,33.74149,1.0,kw_b01,,,50000000,True
2026-07-01,naver_datalab_keyword,패션의류,,민소매,16.19047,0.479838620049085,kw_b01,,,50000000,False
2026-07-01,naver_datalab_keyword,패션의류,,린넨셔츠,41.22448,1.2217741421614754,kw_b01,,,50000000,False
2026-07-01,naver_datalab_keyword,패션의류,,반바지,54.82993,1.6250002593246475,kw_b01,,,50000000,False
2026-07-01,naver_datalab_keyword,패션의류,,린넨팬츠,16.05442,0.47580649224441485,kw_b01,,,50000000,False
2026-07-02,naver_datalab_keyword,패션의류,,반팔티,42.44897,1.0,kw_b01,,,50000000,True
2026-07-02,naver_datalab_keyword,패션의류,,민소매,13.06122,0.30769227144969596,kw_b01,,,50000000,False
2026-07-02,naver_datalab_keyword,패션의류,,린넨셔츠,36.05442,0.8493591246148021,kw_b01,,,50000000,False
2026-07-02,naver_datalab_keyword,패션의류,,반바지,57.27891,1.3493592424032903,kw_b01,,,50000000,False
2026-07-02,naver_datalab_keyword,패션의류,,린넨팬츠,4.7619,0.11217940034822987,kw_b01,,,50000000,False
2026-07-03,naver_datalab_keyword,패션의류,,반팔티,33.60544,1.0,kw_b01,,,50000000,True
2026-07-03,naver_datalab_keyword,패션의류,,민소매,13.19727,0.3927123108639553,kw_b01,,,50000000,False
2026-07-03,naver_datalab_keyword,패션의류,,린넨셔츠,36.59863,1.0890686150813678,kw_b01,,,50000000,False
2026-07-03,naver_datalab_keyword,패션의류,,반바지,44.7619,1.3319837502499594,kw_b01,,,50000000,False
2026-07-03,naver_datalab_keyword,패션의류,,린넨팬츠,4.62585,0.1376518206576078,kw_b01,,,50000000,False
2026-07-04,naver_datalab_keyword,패션의류,,반팔티,26.93877,1.0,kw_b01,,,50000000,True
2026-07-04,naver_datalab_keyword,패션의류,,민소매,21.90476,0.813131408746576,kw_b01,,,50000000,False
